date,games_played,wins,losses,draws,win_rate,blitz_games,rapid_games,bullet_games,avg_user_rating,avg_opponent_rating,avg_rating_diff,first_game_hour_et,last_game_hour_et,weekday,is_weekend,month,month_name,year,week_start
2021-04-09,2,1,1,0,0.5,0,1,1,420.0,459.5,-39.5,21,21,Friday,0,4,April,2021,2021-04-05
2021-04-10,14,4,9,1,0.2857142857142857,0,14,0,293.35714285714283,308.7142857142857,-15.357142857142858,2,18,Saturday,1,4,April,2021,2021-04-05
2021-04-16,7,4,3,0,0.5714285714285714,0,3,4,227.85714285714286,264.2857142857143,-36.42857142857143,4,4,Friday,0,4,April,2021,2021-04-12
2021-04-18,11,4,5,2,0.36363636363636365,0,11,0,241.1818181818182,241.54545454545453,-0.36363636363636365,16,22,Sunday,1,4,April,2021,2021-04-12
2021-04-19,1,1,0,0,1.0,0,1,0,251.0,216.0,35.0,23,23,Monday,0,4,April,2021,2021-04-19
2021-05-12,2,1,1,0,0.5,0,2,0,243.0,213.5,29.5,1,1,Wednesday,0,5,May,2021,2021-05-10
2021-07-17,1,0,0,1,0.0,0,1,0,248.0,240.0,8.0,5,5,Saturday,1,7,July,2021,2021-07-12
2021-07-18,4,3,1,0,0.75,0,1,3,235.5,167.0,68.5,17,17,Sunday,1,7,July,2021,2021-07-12
2021-07-19,3,1,1,1,0.3333333333333333,0,3,0,252.66666666666666,303.3333333333333,-50.666666666666664,20,20,Monday,0,7,July,2021,2021-07-19
2021-07-20,3,1,2,0,0.3333333333333333,0,3,0,249.66666666666666,261.3333333333333,-11.666666666666666,3,7,Tuesday,0,7,July,2021,2021-07-19
2021-07-21,7,5,2,0,0.7142857142857143,0,2,5,310.2857142857143,306.57142857142856,3.7142857142857144,17,23,Wednesday,0,7,July,2021,2021-07-19
2021-07-22,4,2,2,0,0.5,0,1,3,312.75,350.75,-38.0,3,22,Thursday,0,7,July,2021,2021-07-19
2021-07-23,2,1,1,0,0.5,0,0,2,328.0,927.0,-599.0,2,2,Friday,0,7,July,2021,2021-07-19
2021-07-26,4,1,2,1,0.25,0,3,1,303.75,341.75,-38.0,1,16,Monday,0,7,July,2021,2021-07-26
2021-07-30,4,3,0,1,0.75,1,3,0,387.25,363.75,23.5,6,6,Friday,0,7,July,2021,2021-07-26
2021-08-01,3,1,1,1,0.3333333333333333,0,3,0,332.0,440.0,-108.0,2,6,Sunday,1,8,August,2021,2021-07-26
2021-08-02,3,2,0,1,0.6666666666666666,0,3,0,345.6666666666667,321.6666666666667,24.0,3,16,Monday,0,8,August,2021,2021-08-02
2021-08-05,1,1,0,0,1.0,0,1,0,355.0,213.0,142.0,16,16,Thursday,0,8,August,2021,2021-08-02
2021-08-06,5,3,0,2,0.6,0,5,0,364.8,342.0,22.8,4,18,Friday,0,8,August,2021,2021-08-02
2021-08-09,4,0,3,1,0.0,0,4,0,381.0,827.75,-446.75,5,5,Monday,0,8,August,2021,2021-08-09
2021-08-11,9,5,4,0,0.5555555555555556,0,9,0,381.0,481.1111111111111,-100.11111111111111,4,19,Wednesday,0,8,August,2021,2021-08-09
2021-08-16,4,1,3,0,0.25,0,4,0,379.0,1086.25,-707.25,4,23,Monday,0,8,August,2021,2021-08-16
2021-08-17,1,0,0,1,0.0,0,1,0,373.0,652.0,-279.0,16,16,Tuesday,0,8,August,2021,2021-08-16
2021-08-19,2,2,0,0,1.0,0,2,0,386.0,343.0,43.0,15,15,Thursday,0,8,August,2021,2021-08-16
2021-08-20,4,3,1,0,0.75,0,3,1,376.5,340.25,36.25,1,15,Friday,0,8,August,2021,2021-08-16
2021-08-23,1,0,0,1,0.0,0,1,0,416.0,409.0,7.0,0,0,Monday,0,8,August,2021,2021-08-23
2021-08-24,3,3,0,0,1.0,0,3,0,433.0,404.0,29.0,0,6,Tuesday,0,8,August,2021,2021-08-23
2021-09-01,3,1,2,0,0.3333333333333333,0,3,0,441.0,651.0,-210.0,6,6,Wednesday,0,9,September,2021,2021-08-30
2021-09-04,2,1,0,1,0.5,0,2,0,452.0,484.0,-32.0,6,6,Saturday,1,9,September,2021,2021-08-30
2021-09-08,1,1,0,0,1.0,0,1,0,461.0,409.0,52.0,22,22,Wednesday,0,9,September,2021,2021-09-06
2021-09-09,1,1,0,0,1.0,0,1,0,469.0,418.0,51.0,0,0,Thursday,0,9,September,2021,2021-09-06
2021-09-25,3,2,1,0,0.6666666666666666,0,3,0,469.0,578.6666666666666,-109.66666666666667,22,22,Saturday,1,9,September,2021,2021-09-20
2022-11-19,3,2,1,0,0.6666666666666666,0,3,0,485.0,436.0,49.0,23,23,Saturday,1,11,November,2022,2022-11-14
2022-11-20,4,0,4,0,0.0,4,0,0,335.5,417.5,-82.0,0,0,Sunday,1,11,November,2022,2022-11-14
2022-11-21,3,1,1,1,0.3333333333333333,0,3,0,481.3333333333333,488.6666666666667,-7.333333333333333,19,20,Monday,0,11,November,2022,2022-11-21
2022-11-25,3,1,2,0,0.3333333333333333,0,3,0,497.6666666666667,491.3333333333333,6.333333333333333,19,22,Friday,0,11,November,2022,2022-11-21
2022-11-26,4,1,3,0,0.25,0,4,0,433.0,494.0,-61.0,1,18,Saturday,1,11,November,2022,2022-11-21
2022-11-27,2,2,0,0,1.0,0,2,0,462.5,357.5,105.0,1,2,Sunday,1,11,November,2022,2022-11-21
2022-11-28,5,2,3,0,0.4,2,3,0,365.8,322.8,43.0,1,18,Monday,0,11,November,2022,2022-11-28
2022-11-29,8,2,6,0,0.25,5,3,0,243.375,275.0,-31.625,16,23,Tuesday,0,11,November,2022,2022-11-28
2022-11-30,3,2,1,0,0.6666666666666666,0,3,0,433.3333333333333,339.3333333333333,94.0,16,16,Wednesday,0,11,November,2022,2022-11-28
2022-12-01,6,3,3,0,0.5,1,5,0,386.3333333333333,394.0,-7.666666666666667,13,22,Thursday,0,12,December,2022,2022-11-28
2022-12-02,19,11,7,1,0.5789473684210527,6,13,0,339.7894736842105,319.1578947368421,20.63157894736842,1,23,Friday,0,12,December,2022,2022-11-28
2022-12-03,4,3,0,1,0.75,4,0,0,228.0,200.25,27.75,21,21,Saturday,1,12,December,2022,2022-11-28
2022-12-06,2,2,0,0,1.0,2,0,0,265.0,181.5,83.5,14,14,Tuesday,0,12,December,2022,2022-12-05
2022-12-07,3,1,2,0,0.3333333333333333,3,0,0,270.6666666666667,280.6666666666667,-10.0,16,16,Wednesday,0,12,December,2022,2022-12-05
2022-12-08,2,1,1,0,0.5,2,0,0,264.0,240.0,24.0,13,16,Thursday,0,12,December,2022,2022-12-05
2022-12-09,14,9,3,2,0.6428571428571429,14,0,0,294.92857142857144,272.7857142857143,22.142857142857142,1,19,Friday,0,12,December,2022,2022-12-05
2022-12-11,4,1,3,0,0.25,4,0,0,292.75,313.75,-21.0,21,23,Sunday,1,12,December,2022,2022-12-05
2022-12-12,14,6,8,0,0.42857142857142855,13,0,1,300.5,302.2857142857143,-1.7857142857142858,2,18,Monday,0,12,December,2022,2022-12-12
2022-12-13,15,8,6,1,0.5333333333333333,7,8,0,361.93333333333334,353.93333333333334,8.0,1,23,Tuesday,0,12,December,2022,2022-12-12
2022-12-14,14,10,3,1,0.7142857142857143,12,1,1,328.7857142857143,376.57142857142856,-47.785714285714285,1,19,Wednesday,0,12,December,2022,2022-12-12
2022-12-15,1,1,0,0,1.0,0,1,0,438.0,409.0,29.0,2,2,Thursday,0,12,December,2022,2022-12-12
2022-12-18,9,7,2,0,0.7777777777777778,8,1,0,346.55555555555554,331.44444444444446,15.11111111111111,13,23,Sunday,1,12,December,2022,2022-12-12
2022-12-19,4,2,2,0,0.5,4,0,0,352.75,369.5,-16.75,2,23,Monday,0,12,December,2022,2022-12-19
2022-12-20,13,9,4,0,0.6923076923076923,12,1,0,359.0769230769231,337.84615384615387,21.23076923076923,4,23,Tuesday,0,12,December,2022,2022-12-19
2022-12-21,2,0,2,0,0.0,2,0,0,354.0,335.0,19.0,3,23,Wednesday,0,12,December,2022,2022-12-19
2022-12-22,1,1,0,0,1.0,0,1,0,464.0,426.0,38.0,23,23,Thursday,0,12,December,2022,2022-12-19
2022-12-23,14,12,2,0,0.8571428571428571,0,14,0,502.35714285714283,449.85714285714283,52.5,1,22,Friday,0,12,December,2022,2022-12-19
2022-12-24,5,3,1,1,0.6,0,5,0,544.8,557.8,-13.0,2,21,Saturday,1,12,December,2022,2022-12-19
2022-12-25,2,1,1,0,0.5,0,2,0,550.0,572.5,-22.5,6,21,Sunday,1,12,December,2022,2022-12-19
2022-12-26,5,1,4,0,0.2,2,1,2,388.0,384.8,3.2,1,23,Monday,0,12,December,2022,2022-12-26
2022-12-28,1,1,0,0,1.0,0,1,0,554.0,512.0,42.0,3,3,Wednesday,0,12,December,2022,2022-12-26
2022-12-29,1,0,1,0,0.0,0,1,0,546.0,544.0,2.0,13,13,Thursday,0,12,December,2022,2022-12-26
2022-12-31,2,1,1,0,0.5,0,2,0,550.5,569.0,-18.5,15,17,Saturday,1,12,December,2022,2022-12-26
2023-01-01,1,0,1,0,0.0,0,1,0,538.0,513.0,25.0,18,18,Sunday,1,1,January,2023,2022-12-26
2023-01-02,4,4,0,0,1.0,2,2,0,448.75,435.5,13.25,15,18,Monday,0,1,January,2023,2023-01-02
2023-01-03,7,4,3,0,0.5714285714285714,3,4,0,470.7142857142857,454.42857142857144,16.285714285714285,13,19,Tuesday,0,1,January,2023,2023-01-02
2023-01-04,6,5,1,0,0.8333333333333334,2,4,0,494.8333333333333,473.8333333333333,21.0,1,21,Wednesday,0,1,January,2023,2023-01-02
2023-01-05,2,0,2,0,0.0,2,0,0,378.0,406.0,-28.0,13,17,Thursday,0,1,January,2023,2023-01-02
2023-01-06,12,10,1,1,0.8333333333333334,8,2,2,425.5,418.0833333333333,7.416666666666667,3,17,Friday,0,1,January,2023,2023-01-02
2023-01-07,8,6,2,0,0.75,8,0,0,447.25,432.875,14.375,2,19,Saturday,1,1,January,2023,2023-01-02
2023-01-08,3,1,2,0,0.3333333333333333,3,0,0,463.0,474.3333333333333,-11.333333333333334,21,23,Sunday,1,1,January,2023,2023-01-02
2023-01-09,10,6,4,0,0.6,10,0,0,453.0,451.4,1.6,13,22,Monday,0,1,January,2023,2023-01-09
2023-01-10,2,0,2,0,0.0,0,2,0,560.0,566.5,-6.5,21,21,Tuesday,0,1,January,2023,2023-01-09
2023-01-11,7,5,2,0,0.7142857142857143,2,5,0,546.2857142857143,553.0,-6.714285714285714,13,21,Wednesday,0,1,January,2023,2023-01-09
2023-01-12,9,7,2,0,0.7777777777777778,3,6,0,561.0,536.7777777777778,24.22222222222222,1,19,Thursday,0,1,January,2023,2023-01-09
2023-01-13,18,13,4,1,0.7222222222222222,2,9,7,556.6666666666666,554.0,2.6666666666666665,0,23,Friday,0,1,January,2023,2023-01-09
2023-01-14,7,4,3,0,0.5714285714285714,1,6,0,638.5714285714286,649.2857142857143,-10.714285714285714,3,23,Saturday,1,1,January,2023,2023-01-09
2023-01-15,13,8,4,1,0.6153846153846154,2,11,0,657.4615384615385,643.6153846153846,13.846153846153847,2,21,Sunday,1,1,January,2023,2023-01-09
2023-01-16,6,3,3,0,0.5,0,6,0,697.6666666666666,677.1666666666666,20.5,2,20,Monday,0,1,January,2023,2023-01-16
2023-01-17,5,4,1,0,0.8,2,3,0,602.6,464.6,138.0,13,17,Tuesday,0,1,January,2023,2023-01-16
2023-01-18,15,10,5,0,0.6666666666666666,5,10,0,630.4,584.2,46.2,5,19,Wednesday,0,1,January,2023,2023-01-16
2023-01-19,7,3,4,0,0.42857142857142855,6,1,0,490.14285714285717,490.14285714285717,0.0,14,17,Thursday,0,1,January,2023,2023-01-16
2023-01-20,11,8,3,0,0.7272727272727273,3,7,1,637.4545454545455,626.6363636363636,10.818181818181818,3,22,Friday,0,1,January,2023,2023-01-16
2023-01-21,2,0,2,0,0.0,1,1,0,587.0,588.5,-1.5,12,18,Saturday,1,1,January,2023,2023-01-16
2023-01-22,3,2,1,0,0.6666666666666666,0,3,0,717.3333333333334,718.3333333333334,-1.0,2,15,Sunday,1,1,January,2023,2023-01-16
2023-01-23,8,3,4,1,0.375,3,5,0,626.5,630.875,-4.375,3,18,Monday,0,1,January,2023,2023-01-23
2023-01-25,2,1,1,0,0.5,1,1,0,587.5,567.5,20.0,4,16,Wednesday,0,1,January,2023,2023-01-23
2023-01-26,11,5,6,0,0.45454545454545453,2,3,6,599.8181818181819,637.0,-37.18181818181818,2,17,Thursday,0,1,January,2023,2023-01-23
2023-01-27,3,1,2,0,0.3333333333333333,1,1,1,584.6666666666666,595.6666666666666,-11.0,3,19,Friday,0,1,January,2023,2023-01-23
2023-01-31,2,1,1,0,0.5,1,1,0,582.0,598.5,-16.5,13,17,Tuesday,0,1,January,2023,2023-01-30
2023-02-01,3,1,2,0,0.3333333333333333,1,2,0,628.0,642.0,-14.0,0,17,Wednesday,0,2,February,2023,2023-01-30
2023-02-02,6,2,3,1,0.3333333333333333,2,4,0,618.3333333333334,585.6666666666666,32.666666666666664,0,23,Thursday,0,2,February,2023,2023-01-30
2023-02-03,3,2,1,0,0.6666666666666666,0,0,3,602.6666666666666,604.0,-1.3333333333333333,17,19,Friday,0,2,February,2023,2023-01-30
2023-02-04,2,2,0,0,1.0,0,0,2,628.0,613.0,15.0,16,16,Saturday,1,2,February,2023,2023-01-30
2023-02-05,4,4,0,0,1.0,0,4,0,730.0,739.25,-9.25,12,13,Sunday,1,2,February,2023,2023-01-30
2023-02-06,9,9,0,0,1.0,0,9,0,779.4444444444445,659.1111111111111,120.33333333333333,1,20,Monday,0,2,February,2023,2023-02-06
2023-02-07,2,2,0,0,1.0,1,1,0,622.0,331.5,290.5,13,15,Tuesday,0,2,February,2023,2023-02-06
2023-02-08,4,2,2,0,0.5,1,3,0,707.0,704.75,2.25,12,23,Wednesday,0,2,February,2023,2023-02-06
2023-02-09,13,9,4,0,0.6923076923076923,5,5,3,633.2307692307693,625.0,8.23076923076923,0,18,Thursday,0,2,February,2023,2023-02-06
2023-02-10,1,0,1,0,0.0,0,0,1,632.0,626.0,6.0,16,16,Friday,0,2,February,2023,2023-02-06
2023-02-11,3,2,1,0,0.6666666666666666,0,2,1,742.3333333333334,739.6666666666666,2.6666666666666665,14,17,Saturday,1,2,February,2023,2023-02-06
2023-02-12,5,1,4,0,0.2,0,5,0,787.8,789.2,-1.4,0,13,Sunday,1,2,February,2023,2023-02-06
2023-02-13,5,3,1,1,0.6,3,2,0,608.0,607.4,0.6,1,18,Monday,0,2,February,2023,2023-02-13
2023-02-14,6,5,1,0,0.8333333333333334,2,4,0,702.1666666666666,683.0,19.166666666666668,13,22,Tuesday,0,2,February,2023,2023-02-13
2023-02-15,4,3,1,0,0.75,4,0,0,510.0,516.25,-6.25,16,19,Wednesday,0,2,February,2023,2023-02-13
2023-02-16,2,1,1,0,0.5,0,2,0,812.0,803.0,9.0,1,22,Thursday,0,2,February,2023,2023-02-13
2023-02-17,7,4,2,1,0.5714285714285714,4,3,0,647.4285714285714,640.8571428571429,6.571428571428571,0,18,Friday,0,2,February,2023,2023-02-13
2023-02-18,2,0,2,0,0.0,1,1,0,663.5,693.5,-30.0,16,19,Saturday,1,2,February,2023,2023-02-13
